,id,title,price,available_quantity,city,state,seller,Brand
44,MLA906348632, Google Chromecast 3rd Generation  Full Hd  Carbón,32474.0,50,Parque Chas,Capital Federal,ELECTROWORLDGROUPARGENTINA,CHORMECAST
45,MLA1143782716,Google Chromecast 4k Android Tv Control De Voz Color Blanco!,57990.0,1,Chacarita,Capital Federal,INTEGRADOS ARGENTINOS,CHORMECAST
46,MLA869143575,Chromecast Google 3rd Generation  Full Hd 1080 Hdmi,23500.0,1,Caballito,Capital Federal,GONDOR STORE,CHORMECAST
47,MLA910314339,Chromecast With Google Tv  De Voz 4k 8gb  Snow 2gb Ram,49999.0,50,Parque Chas,Capital Federal,ELECTROWORLDGROUPARGENTINA,CHORMECAST
48,MLA885640080,Google Chromecast 3 Gen Smart Tv Hdmi Caja C/ Fuente,30999.0,50,San Nicolás,Capital Federal,BH COMPUTACION,CHORMECAST
49,MLA1129796955,Google Chromecast With Google Tv De Voz 4k 8gb Snow 2gb Ram,55999.0,500,Capital Federal,Capital Federal,LAMEJORSOLUCION,CHORMECAST
0,MLA1240290150,Smart Tv Noblex Dq50x9500pi Qled 4k 50'' Black Series Con Google Tv,154999.0,250,Monte Chingolo,Buenos Aires,PILISAR 33709180849,SMARTV
1,MLA1147960290,Soporte Para Tv Libercam Lc-03 Smart Movil Brazo Articulado 14 A 55 Pulgada Negro,4699.0,500,Boedo,Capital Federal,LIBERCAM,SMARTV
2,MLA903321020,Tv Box Noga Pc Ultra Estándar 4k 8gb Negro Con 1gb De Memoria Ram,14999.6,150,Almagro,Capital Federal,PCREGISTRADAOK,SMARTV
3,MLA1174388831,Smart Tv 32 Philips Android Hd 32phd6917/77 110-240v,58999.0,1,Villa Urquiza,Capital Federal,OPENFACTORY,SMARTV
4,MLA1104999739,Soporte Nictom Sp01 De Pared Para Tv/monitor De 32  A 75  Negro,17999.0,150,Buenos Aires,Capital Federal,NYT SRL,SMARTV
5,MLA1117413521,Tv Stick Anycast M9 Plus Negro Con 128mb De Memoria Ram,5109.06,1,San Nicolás,Capital Federal,DUAITEK,SMARTV
6,MLA1150940135,Smart Tv Noblex Dk32x5050pi Led Hd 32'',54499.0,1,Parque Patricios,Capital Federal,DMAKER SA,SMARTV
7,MLA1348110329,Smart Tv Quint Qt1-32frame Led Linux Hd 32  220v,69999.0,1,Parque Patricios,Capital Federal,DMAKER SA,SMARTV
8,MLA899501328,Control Remoto Para Rca Tcl Hitachi Smart,2598.98,50,Córdoba,Córdoba,GALLIO ELECTRÓNICA,SMARTV
